accuracy,loss,val_accuracy,val_loss
0.7977070808410645,0.5041856169700623,0.8268874287605286,0.39139336347579956
0.8326964378356934,0.3711802661418915,0.8320981860160828,0.35856765508651733
0.8366172313690186,0.3517912030220032,0.8325613737106323,0.34809672832489014
0.838106095790863,0.34450575709342957,0.8353404402732849,0.3418370485305786
0.8419276475906372,0.339698851108551,0.8407827615737915,0.3392544686794281
0.8445084095001221,0.3379083573818207,0.8398563861846924,0.33714690804481506
0.8454017639160156,0.3359343707561493,0.841940701007843,0.33609670400619507
0.846940279006958,0.33371701836586,0.8444882035255432,0.33469825983047485
0.848875880241394,0.3337019681930542,0.8464567065238953,0.3334985673427582
0.8486773371696472,0.3333374261856079,0.8456461429595947,0.3324628174304962
